Place,Name,Club(s),Division,Country
1,REN Jason,Dynamo Fencing Club,,CAN
2,WANG Terry,Dynamo Fencing Club,,USA
3T,JIANG Zichang (Leon),Dynamo Fencing Club,,CAN
3T,WANG Jensen,Dynamo Fencing Club,,CAN
5,LU Ivan,Dynamo Fencing Club,,CAN
6,ERDMAN Lucas,Dynamo Fencing Club,,CAN
7,JIM Angus,Dynamo Fencing Club,,CAN
8,KIM Minjae Haris,Dynamo Fencing Club,,KOR
9,PANG Lucas,Dynamo Fencing Club,,CAN
10,CUI Oscar,Dynamo Fencing Club,,CAN
11,RUBIN Daniel,Dynamo Fencing Club,,CAN
12,KAO Yishane,Dynamo Fencing Club,,CAN
13,SMITH Colin,Okanagan Freestyle Fencing,,CAN
14,YOON EricJeongmok,Dynamo Fencing Club (Canada),,CAN
15,CALLAN Mason,Okanagan Freestyle Fencing,,CAN
16,CATTON Shae,Okanagan Freestyle Fencing / Vernon Fencing Club,,CAN
17,YUE Hongrui (Henry),Dynamo Fencing Club,,CAN
18,KHRISSANOV Peter,Tri-City Fencing Academy,,CAN
19,JANG Roy,Dynamo Fencing Club,,CAN
20,WU Liyi,Dynamo Fencing Club,,CAN
21,LIPPMAN Jake,Dynamo Fencing Club,,CAN
22,ESTOUP RUIZ Theo Exequiel,Dynamo Fencing Club,,CAN
23,CHIONG Matthew,Dynamo Fencing Club,,CAN
24,KWOK Krakow,Dynamo Fencing Club,,CAN
25,LI Gabriel,Dynamo Fencing Club,,CAN
