Place,Name,Club(s),Division,Country
1,HAYES Nadia,Dynamo Fencing Club,,CAN
2,SEIGEL Norah,,,CAN
3T,LEUNG Mei Hang (Danise),Dynamo Fencing Club,,CAN
3T,FETECAU Ilinca,Dynamo Fencing Club,,CAN
5,GU Maggie,Dynamo Fencing Club,,CAN
6,SUN Sophia,Damocles Fencing Club,,CAN
7,HU Jenna,Dynamo Fencing Club,,CAN
8,SOHETSKAYA STEPHANIA,Dynamo Fencing Club,British Columbia,CAN
9,ZHANG Soleil,Dynamo Fencing Club,,CAN
10,FAN Lydia,S-class Fencing / Fencing Sport Academy,,HKG
11,CHAMBERLAND Lauren,S-class Fencing,,CAN
12,TING Kiara,Tri-City Fencing Academy,,CAN
13,BISAL Evangeline,OSM Fencing,,CAN
14,TANG AlizÃ¡gada,OSM Fencing,,CAN
