Place,Name,Club(s),Division,Country
1,ZHANG Nicholas,Dynamo Fencing Club,,CAN
2,VOZOVIK Zakhar,Dynamo Fencing Club,,CAN
3T,CUI Oscar,Dynamo Fencing Club,,CAN
3T,TOWNSEND Avery,Dynamo Fencing Club,,USA
5,RUBIN Daniel,Dynamo Fencing Club,,CAN
6,KAO Yishane,Dynamo Fencing Club,,CAN
7,WANG Terry,Dynamo Fencing Club,,USA
8,JIM Angus,Dynamo Fencing Club,,CAN
9,BRENT Sean,Okanagan Freestyle Fencing,,CAN
10,ERDMAN Lucas,Dynamo Fencing Club,,CAN
11,PANG Lucas,Dynamo Fencing Club,,CAN
12,YUE Hongrui (Henry),Dynamo Fencing Club,,CAN
13,KHRISSANOV Peter,Tri-City Fencing Academy,,CAN
14,LU Ivan,Dynamo Fencing Club,,CAN
15,JIANG Zichang (Leon),Dynamo Fencing Club,,CAN
16,YOON EricJeongmok,Dynamo Fencing Club (Canada),,CAN
17,CHUNG Ethan,Dynamo Fencing Club,,CAN
18,WANG Jensen,Dynamo Fencing Club,,CAN
19,KIM Minjae Haris,Dynamo Fencing Club,,KOR
20,SMITH Colin,Okanagan Freestyle Fencing,,CAN
21,WU Evan,Dynamo Fencing Club,,CAN
22,CATTON Shae,Okanagan Freestyle Fencing / Vernon Fencing Club,,CAN
23,CALLAN Mason,Okanagan Freestyle Fencing,,CAN
24,CHIONG Matthew,Dynamo Fencing Club,,CAN
