Place,Name,Club(s),Division,Country
1,WONG Adam,Dynamo Fencing Club (Canada),,CAN
2,WONG Adrian,Dynamo Fencing Club (Canada),,CAN
3T,WEI Matt,Dynamo Fencing Club,,CAN
3T,CHEN Charlie Tian-You,S-class Fencing,,CAN
5,BUDOVSKY boris,Dynamo Fencing Club,British Columbia,CAN
6,DONG Quintin,Dynamo Fencing Club,,CAN
7,TUPPER Vijay,Tri-City Fencing Academy,,CAN
8,LAK Isaac,SClass Fencing,,CAN
9,LINDER James,Epic Fencing Club,,CAN
10,LIU Joseph,SClass Fencing,,CAN
11,JAMES Husmann,Manitoba Golden Blades,,CAN
12,YOUNG Max,S-class Fencing,,CAN
