Place,Name,Club(s),Division,Country
1,DEGTYAREV Ilya,Dynamo Fencing Club,,CAN
2,WONG Adam,Dynamo Fencing Club (Canada),,CAN
3T,SCHENKEL Joseph,S-class Fencing,,CAN
3T,LAK Isaac,SClass Fencing,,CAN
5,YU Jason,Dynamo Fencing Club,,CAN
6,CHEN Charlie Tian-You,S-class Fencing,,CAN
7,BERKE Dan,Rain City Fencing Center,,USA
8,JAMES Husmann,Manitoba Golden Blades,,CAN
9,MU Di,University Of British Columbia / Musketeers Fencing Society,,CAN
10,ALEXANDER Scott,OSM Fencing,,CAN
11,LEUNG Kevin,OSM Fencing,,CAN
