Place,Name,Club(s),Division,Country
1,ZHANG Nicholas,Dynamo Fencing Club,,CAN
2,TOWNSEND Avery,Dynamo Fencing Club,,USA
3T,PATTERSON ARBOINE Luis Enrique,(none),,CAN
3T,FAFARD Fynn,Dynamo Fencing Club,,CAN
5,GALLAGHERPELLETIER Samuel,Dynamo Fencing Club / University of Toronto,,CAN
6,VERRET ALEXANNE,,Quebec,CAN
7,LU Ivan,Dynamo Fencing Club,,CAN
8,CUI Oscar,Dynamo Fencing Club,,CAN
9,FRENCH Dylan,Dynamo Fencing Club,,CAN
10,BENTLEY-INOUYE Evan,Delta Fencing Club / University Of British Columbia,,CAN
11,HABIB Farooq,Dynamo Fencing Club / (none),,CAN
12,VOZOVIK Zakhar,Dynamo Fencing Club,,CAN
13,OPRISAN Alex,Dynamo Fencing Club,,CAN
14,ZELENTSOVA Alina,Dynamo Fencing Club,,CAN
15,BRENT Sean,Okanagan Freestyle Fencing,,CAN
16,SUVEG Bela,Dynamo Fencing Club,,CAN
17,RISSIEK Markus,Delta Fencing Club / Dynamo Fencing Club,,CAN
18,CLARKE Matt,Okanagan Freestyle Fencing / Vernon Fencing Club,,CAN
19,GEISBERG Benjamin,University Of British Columbia / Fortune Fencing,,USA
20,SMITH Colin,Okanagan Freestyle Fencing,,CAN
21,JIANG Zichang (Leon),Dynamo Fencing Club,,CAN
22,REN Jason,Dynamo Fencing Club,,CAN
23,NED Mixalhcen,,,CAN
24,CATTON Shae,Okanagan Freestyle Fencing / Vernon Fencing Club,,CAN
25,FABBRO Izabela,Tri-City Fencing Academy,,CAN
26,BLOCK B.J.,Dynamo Fencing Club / Bellingham Bay Fencing Association,,USA
27,ROBINSON Doug,La Salle Fencing Club,,CAN
28,ARMES Jonas,North Vancouver Fencing Club,,CAN
29,KHRISSANOV Peter,Tri-City Fencing Academy,,CAN
30,JIM Angus,Dynamo Fencing Club,,CAN
31,CALLAN Mason,Okanagan Freestyle Fencing,,CAN
32,BRIDGER Denis,Delta Fencing Club / Musketeers Fencing Society,,CAN
33,LEUNG Kevin,OSM Fencing,,CAN
34,HSU Alvin,University Of British Columbia,,CAN
35,MA Aaron,Dynamo Fencing Club,,CAN
36,KLESCHELSKY Alec,Dynamo Fencing Club,,CAN
37,CASTONGUAY Luc,Delta Fencing Club,,CAN
38,MATTIE Jacob,Simon Fraser University Fencing Team,,CAN
39,CHEN Yu-chien Raymond,Dynamo,,CAN
40,BRIDGER DENZ Thea,Delta Fencing Club / Musketeers Fencing Society,,CAN
41,JEARY Sean,Delta Fencing Club / Musketeers Fencing Society,,CAN
42,WIEBE Devan,Dynamo Fencing Club,,CAN
43,SPENCE John,University Of British Columbia,,CAN
44,LANGFORD Braydon,Dynamo Fencing Club (Canada),,CAN
45,SZETO Vivian,Dynamo Fencing Club,,CAN
