Place,Name,Club(s),Division,Country
1,HABIB Farooq,Dynamo Fencing Club / (none),,CAN
2,BLOCK B.J.,Dynamo Fencing Club / Bellingham Bay Fencing Association,,USA
3T,OPRISAN Alex,Dynamo Fencing Club,,CAN
3T,POWELL Victor,Dynamo Fencing Club (can) / (none),,CAN
5,VON DEHN edward,Dynamo Fencing Club (can),British Columbia,CAN
6,SUVEG Bela,Dynamo Fencing Club,,CAN
7,CASTONGUAY Luc,Delta Fencing Club,,CAN
8,CARLSON Jesse,,,USA
9,ROBERTS David,Dynamo Fencing Club / Musketeers Fencing Society,,CAN
10,ROBINSON Doug,La Salle Fencing Club,,CAN
11,BRIDGER Denis,Delta Fencing Club / Musketeers Fencing Society,,CAN
12,DAHER Nadia,Dynamo Fencing Club (Canada),,CAN
