Place,Name,Club(s),Division,Country
1,DALE Colin,Toronto Fencing Club / University of Toronto Fencing,Ontario,CAN
2,UKOLOV Dimitri,University of Toronto Fencing,Ontario,CAN
3T,GUTIERREZ-SARABIA Nicholas,Brock Badgers Fencing,Ontario,CAN
3T,MCDONNELL Evan,Trent Fencing Club,Ontario,CAN
5,TSUN Tin Hong,University of Toronto Fencing,Ontario,CAN
6,HAND Oscar,McMaster Fencing Club,Ontario,CAN
7,KRESIN Alexander,Ajax Fencing Club,Ontario,CAN
8,WILLISON Andrew,Royal Military College Fencing,Ontario,CAN
9,WU Rick,Western University Fencing,Ontario,CAN
10,WHITE Sasha,Ryerson Fencing Club,Ontario,CAN
11,MCDONNELL Nathaniel,Brock Badgers Fencing,Ontario,CAN
12,MAKARENKO Daniil,Royal Military College Fencing,Ontario,CAN
13,MEREL Aurélien,London Fencing Club,Ontario,CAN
14,SMITH Zachary,McMaster Fencing Club / Ajax Fencing Club,Ontario,CAN
15,BRENNAN Ryan,West End Swords,Ontario,CAN
16,CAMPBELL Alex,Vango Toronto / Toronto Fencing Club,Ontario,CAN
17,HU Andrew,Royal Military College Fencing,Ontario,CAN
18,LI Peizhen (Daniel),Queen's Varsity Fencing Club,Ontario,CAN
19,KARAASLAN Osman Firat,Big Bear Fencing,,TUR
20,KANAAN Taher,University of Toronto Fencing,Ontario,CAN
21,DOMINY Maxwell,Western University Fencing,Ontario,CAN
22,CROWDER Gavin,Ottawa Fencing Club,Ontario,CAN
23,HORVATH Mark,Brock Badgers Fencing,Ontario,CAN
24T,LIANG Sean,Queen's Varsity Fencing Club,Ontario,CAN
24T,WANG Herbert,Queen's Varsity Fencing Club,Ontario,CAN
26,ZOU David,Western University Fencing,Ontario,CAN
27,ZHANG Jacob,Queen's Varsity Fencing Club,Ontario,CAN
28,ROE Ben,University of Guelph Fencing,Ontario,CAN
29,TRIANO Parker,Brock Badgers Fencing,Ontario,CAN
30,GRIFFIN Richard,Canadian Fencing Academy / University of Guelph Fencing,Ontario,CAN
31,YIP Adrian,Queen's Varsity Fencing Club,Ontario,CAN
32,LOKIETEK Patrick,Ajax Fencing Club,Ontario,CAN
33,POLAK Andrew,Ajax Fencing Club,Ontario,CAN
34,STANG Karl,Brock Badgers Fencing,Ontario,CAN
35,BARBER NIETO Alexander,Queen's Varsity Fencing Club,Ontario,CAN
36,BYELOCK Rowan,Royal Military College Fencing,Ontario,CAN
37,HARRISON Nathan,Queen's Varsity Fencing Club,Ontario,CAN
38,CHU Justin (San Yuen ),University of Toronto Fencing,Ontario,CAN
39,JHAVERI Aryan,Brock Badgers Fencing,Ontario,CAN
40,VESSEY Joshua,Royal Military College Fencing,Ontario,CAN
41,MA Ben,University of Toronto Fencing,Ontario,CAN
42,MAWHINNEY Scott,Royal Military College Fencing,Ontario,CAN
43,NOVAK Samuel,London Fencing Club,Ontario,CAN
44,NAEIJ Ali,Western University Fencing,Ontario,CAN
45,WHITEHEAD Isaac,Royal Military College Fencing,Ontario,CAN
46,WINKLER Kieran,Trent Fencing Club,Ontario,CAN
