Place,Name,Club(s),Division,Country
1,ZHANG Nicholas,Dynamo Fencing Club,British Columbia,CAN
2,FRENCH dylan,Dynamo Fencing Club,British Columbia,CAN
3T,XIAO Leon,Vango Toronto,Ontario,CAN
3T,RONG Yao (Derek),UNA - Unaffiliated,British Columbia,CAN
5,GALLAGHER PELLETIER Samuel,Dynamo Fencing Club,British Columbia,CAN
6,LIPPMAN Eli,Dynamo Fencing Club,British Columbia,CAN
7,GORNOVSKY David,SWP,Ontario,CAN
8,BRUNET Nathan (M),Olympia de Montreal,Quebec,CAN
9,IYOKI Kent,North West Fencing Center,,USA
10,PATTERSON ARBOINE Luis Enrique,Dynamo Fencing Club,British Columbia,CUB
11,KADYSZEWSKI Mateo (M),Olympia de Montreal,Quebec,CAN
12,LOWE-THORPE Tyler,Dynamo Fencing Club,British Columbia,CAN
13,PANG Lucas,Dynamo Fencing Club,British Columbia,CAN
14,POULIQUEN Nicolas,Unattached,British Columbia,CAN
15,WONG Chi Ho,Dynamo Fencing Club,British Columbia,CAN
16,HABIB Farooq,Dynamo Fencing Club,British Columbia,CAN
17,FAFARD Fynn,Dynamo Fencing Club,British Columbia,CAN
18,HE Yu Hao,Dynamo Fencing Club,British Columbia,CAN
19,OUIMET Francois (M),Club d'escrime les Spartiates d'Anjou,Quebec,CAN
20,LIM Timothy,UNA - Unaffiliated,British Columbia,SGP
21,VOZOVIK Zakhar,Dynamo Fencing Club,British Columbia,CAN
22,SHI Edric,Dynamo Fencing Club,British Columbia,CAN
23,LACROIX Floryan (M),Centre d`Escrime Excellence,Quebec,CAN
24,LIU Kyle,Dynamo Fencing Club,British Columbia,CAN
25,RUBIN Yuriy,Dynamo Fencing Club,British Columbia,CAN
26,KATALINIC Alexander,Okanagan Freestyle Fencing,British Columbia,CAN
27,LI Sui Lun (Phillip),Dynamo Fencing Club,British Columbia,CAN
28,DEGUCHI Nicolas,SWP,Ontario,CAN
29,ARKHIPOV Peter,SWP,Ontario,CAN
30,WEI Hunter (M),BRE - Dynamiques de Brebeuf,Quebec,CAN
31,LU Ivan,Dynamo Fencing Club,British Columbia,CAN
32,SINGH Rowan,Priori Epee Fencing Club,Alberta,CAN
33,LI Zachary,Vango Toronto,Ontario,CAN
34,ZENG zihan(Oliver),Vango Toronto,Ontario,CAN
35,CUI Oscar,Dynamo Fencing Club,British Columbia,CAN
36,GALLANT Antoine (M),Olympia de Montreal,Quebec,CAN
37T,FAN Jackson,Vango Toronto,Ontario,CAN
37T,RUBIN Daniel,Dynamo Fencing Club,British Columbia,CAN
39,GOUCHIE-PROVENCHER Jake,Olympia de Montreal,Quebec,CAN
40,POS Theo,Vango Toronto,Ontario,CAN
41,CHAN Ryan,Priori Epee Fencing Club,Alberta,CAN
42T,BENTLEY-INOUYE Evan,Delta Fencing Club,British Columbia,CAN
42T,BADEA Christian (M),BRE - Dynamiques de Brebeuf,Quebec,CAN
44,YANG Edward,Vango Toronto,Ontario,CAN
45,DOYON-VERDON William (M),Masque de Fer,Quebec,CAN
46,PAN Eric,Dynamo Fencing Club,British Columbia,CAN
47,CARLSON Jesse,UNA - Unaffiliated,,USA
48,RISSIEK Markus,Delta Fencing Club,British Columbia,CAN
49,PERREAULT Antoine (M),BRE - Dynamiques de Brebeuf,Quebec,CAN
50,DIETZ Andor,Dynamo Fencing Club,British Columbia,CAN
51,ZHAO Zidong (M),BRE - Dynamiques de Brebeuf,Quebec,CAN
52,HAREL Jason (M),Escrime Mont-Royal,Quebec,CAN
53,CAUCHY Eliot (M),Centre d`Escrime Excellence,Quebec,CAN
